validator_address,pool_id,total_stake,delegator_address,net_delegated_iota
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x9c11c0b6e803eadfcea92bf2ec3592c7aaa6529a1f880d5cdf3ec02709d9df5e,15650.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x0414adb0d005bd28463baca617fbf39fc2b7c9149040e5fe93235f90a0ab16dc,15000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xa763b201e9bb8f44a091148d542b40fb0c700c4c361bdf99a8e59a43cc89a928,12000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xaac7b36c8fb12c5e1ab218a36b0fbd319533e5e3b530adfd1caa8e58d4ebdc07,11286.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x2c843c23898b58667a26655378b5bed1c337db570e2137127bb79c174e0b79e3,11235.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xf594f9a5b43f75619fd10cb76746bf23c6e655db6eccf3c1169d0d036ba6a505,10000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x9af06510ec392cf9bd2362a5c44b7c1db72bdc92e63d9e21ae24758915219d1d,9105.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x9c72934a033f08269dcf8945db7d93d992bf569d893ca4583644791d1072e540,8000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x6edb9c7fc1ba5b5f4ba06ab25571e99940b9294f842e7253bfdfa85b300e6659,7774.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x7068962b9043fdc1f0258b60f55b1eae0f602bfb39dc98b6b21ace17b8b12a08,7000.0
