epoch_id,gini_index
0,0.19151790285971027
1,0.19151790285971027
2,0.48369898499702524
3,0.5332083135220398
4,0.5462060020080588
5,0.553262109183742
6,0.5550444438074327
7,0.5471755985048921
8,0.5713349113237951
9,0.5524077041935658
10,0.5561643463856671
11,0.5708182989550536
12,0.5677625921816893
13,0.5676958863515575
14,0.5559423508033381
15,0.5638224281194666
16,0.5673245921009162
17,0.5517226274669775
18,0.5454102555077116
19,0.5459820595454332
20,0.5432471968335641
21,0.5408462750256995
22,0.5423906695756129
23,0.5334223814789281
24,0.5367112826779394
25,0.5338659350191288
26,0.5327537574538033
27,0.531950228184537
28,0.5315871375543362
29,0.5292739873214212
30,0.5342101209302212
31,0.5334191371921118
32,0.5333359708974337
33,0.5330801901803801
34,0.5334146878124457
35,0.5326995325811086
36,0.5329277904566512
37,0.5344286833525349
38,0.5265881005773683
39,0.5332678805776387
40,0.5334282961618995
41,0.5334717320235844
42,0.5332358491705451
43,0.5327997773079627
44,0.5313543331799151
45,0.5311220754797621
46,0.5311916813830515
47,0.5302190537577613
48,0.5301211307181428
49,0.5300118905364781
50,0.529631648859267
51,0.5295057132922443
52,0.5292271557464963
53,0.5288180719697799
54,0.5286817394580314
55,0.5283976285266083
56,0.5283113874335472
57,0.5281952450956899
58,0.5278317530551677
59,0.5277004396516516
60,0.5274273623196637
61,0.5273919237491396
62,0.5272009161517386
63,0.526942135911024
64,0.5260198439344808
65,0.5258751823080869
66,0.5252725417798054
67,0.5302462032450934
68,0.5330691171020927
69,0.5315053187315475
70,0.53140879245015
71,0.5332529962588448
72,0.5278232935456424
73,0.526484738606332
74,0.5259520488413791
75,0.5258151386405678
76,0.5255927426875553
77,0.5254937867568994
78,0.5251242705767227
79,0.5251050379153972
80,0.5246543268093433
81,0.5243536224186358
82,0.5240913102523741
83,0.5235843242135829
84,0.5236612866839481
85,0.5227366613816704
86,0.5222717515523754
87,0.5233998522652157
88,0.5239653763938781
89,0.5238988691806883
90,0.5238259608824272
91,0.5232385266573341
92,0.5236607795039783
93,0.522214018475029
94,0.5238795918148249
95,0.5237693932438641
96,0.5236459102626709
97,0.5229757839281124
98,0.522713073575438
99,0.5226596167629434
100,0.5301533441346931
101,0.538418551927391
102,0.5336347535732398
103,0.5394515845505645
104,0.5389632462859517
105,0.5379201813253054
106,0.5353219840438199
107,0.5414097366626525
108,0.5417904673246534
109,0.5415267116294904
110,0.5416601741232654
111,0.5416286442710008
112,0.5412135524402724
113,0.5409955009455374
114,0.5460970898155515
115,0.5461200471758472
116,0.5416227855321296
117,0.5416554288903266
118,0.5420824682081582
119,0.5423058572658324
120,0.5607112683310778
121,0.5602021838068612
122,0.5594035018597623
123,0.5580431361984839
124,0.5576526468778007
125,0.5567902803905644
126,0.5565394075153494
127,0.5580350682425075
128,0.5570418785527473
129,0.5537249903632924
130,0.5536705296074178
131,0.553711531253442
132,0.552916100879062
133,0.5524767606423304
134,0.5455269406430172
135,0.5453732324161507
136,0.5464543163431483
137,0.5478079070876913
138,0.5482151414210823
139,0.5482060181591637
140,0.548096418089461
141,0.5473515744001922
142,0.5471161602379455
143,0.5468642333833074
144,0.5470194717077528
145,0.5478974147908868
146,0.5476730584003191
147,0.5471991486210304
148,0.5546151218610353
149,0.5547028041208948
150,0.5494248695917312
