epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
41,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.0,122868040,0.9,0.9
42,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.05,124078234,0.8,0.8
43,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.12,125165685,0.8,0.8
44,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.08,124420984,0.8,0.8
45,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.15,126432213,0.8,0.8
46,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.2,127726061,0.8,0.8
47,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.33,130343461,0.8,0.8
48,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.35,130782264,0.8,0.8
49,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.37,131530808,0.8,0.8
50,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.38,131806233,0.8,0.8
51,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.4,132156479,0.8,0.8
52,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.52,134535348,0.8,0.8
53,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.52,134790546,0.8,0.8
54,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.53,134949697,0.8,0.8
