epoch_id,total_stake,total_stake_millions
214,2406822545,2406.822545
215,2407199230,2407.19923
216,2407432770,2407.43277
217,2409068946,2409.068946
218,2408964555,2408.964555
219,2411792171,2411.792171
220,2407543621,2407.543621
221,2405536116,2405.536116
222,2405660012,2405.660012
223,2406944195,2406.944195
224,2407805330,2407.80533
225,2372593125,2372.593125
226,2396762801,2396.762801
227,2398373714,2398.373714
228,2408344458,2408.344458
229,2409744732,2409.744732
230,2410745959,2410.745959
231,2411972923,2411.972923
232,2412793373,2412.793373
233,2414226709,2414.226709
234,2415816392,2415.816392
235,2417006457,2417.006457
236,2418079450,2418.07945
237,2363905275,2363.905275
238,2363648802,2363.648802
239,2362137619,2362.137619
240,2359779835,2359.779835
241,2358055482,2358.055482
242,2363481383,2363.481383
243,2365476914,2365.476914
244,2366994991,2366.994991
245,2368900065,2368.900065
246,2371466534,2371.466534
247,2371008208,2371.008208
248,2373070853,2373.070853
249,2374150798,2374.150798
250,2372267827,2372.267827
251,2373228371,2373.228371
252,2376194404,2376.194404
253,2435422594,2435.422594
254,2436321941,2436.321941
255,2438261774,2438.261774
256,2437631740,2437.63174
257,2432248627,2432.248627
258,2434275165,2434.275165
259,2435990712,2435.990712
260,2437129803,2437.129803
261,2439191211,2439.191211
262,2447957196,2447.957196
263,2450240844,2450.240844
264,2444514175,2444.514175
265,2443424068,2443.424068
266,2443891786,2443.891786
267,2441919443,2441.919443
268,2442936757,2442.936757
269,2428063045,2428.063045
270,2428146219,2428.146219
271,2419460960,2419.46096
272,2428167652,2428.167652
273,2430174500,2430.1745
274,2422152945,2422.152945
275,2424435549,2424.435549
276,2432386853,2432.386853
277,2441502104,2441.502104
278,2443517345,2443.517345
279,2445883515,2445.883515
280,2448237801,2448.237801
281,2448729397,2448.729397
282,2450211460,2450.21146
283,2452072767,2452.072767
284,2457691998,2457.691998
285,2456081940,2456.08194
286,2457594518,2457.594518
287,2457767869,2457.767869
288,2457285651,2457.285651
289,2457624105,2457.624105
290,2457548225,2457.548225
291,2467697821,2467.697821
292,2468973237,2468.973237
293,2470759067,2470.759067
294,2472010439,2472.010439
295,2466651927,2466.651927
296,2461526836,2461.526836
297,2462591500,2462.5915
298,2460623473,2460.623473
299,2461605092,2461.605092
300,2463267027,2463.267027
301,2465013179,2465.013179
302,2468778834,2468.778834
303,2459755463,2459.755463
304,2460072201,2460.072201
305,2463613770,2463.61377
306,2454221003,2454.221003
307,2455762760,2455.76276
308,2457072140,2457.07214
309,2440183385,2440.183385
310,2440953397,2440.953397
311,2438171746,2438.171746
312,2438684620,2438.68462
313,2434888326,2434.888326
314,2436585867,2436.585867
315,2438578426,2438.578426
316,2439712925,2439.712925
317,2432241606,2432.241606
318,2434731594,2434.731594
319,2436649743,2436.649743
320,2437983516,2437.983516
321,2439267895,2439.267895
322,2439293497,2439.293497
323,2439535427,2439.535427
324,2440368675,2440.368675
325,2441722396,2441.722396
326,2432990812,2432.990812
327,2440292370,2440.29237
328,2442058170,2442.05817
329,2442469941,2442.469941
330,2442980777,2442.980777
331,2441278128,2441.278128
332,2442194983,2442.194983
333,2443546453,2443.546453
334,2445432449,2445.432449
335,2446445389,2446.445389
336,2444753359,2444.753359
337,2448660832,2448.660832
338,2451844680,2451.84468
339,2454286399,2454.286399
340,2456265737,2456.265737
341,2455102537,2455.102537
342,2456487753,2456.487753
343,2458396167,2458.396167
344,2449238014,2449.238014
345,2444560404,2444.560404
346,2444528773,2444.528773
347,2444662556,2444.662556
348,2445407886,2445.407886
349,2447233501,2447.233501
350,2448770053,2448.770053
351,2449064544,2449.064544
352,2448109922,2448.109922
353,2448838392,2448.838392
354,2461162200,2461.1622
355,2462620214,2462.620214
356,2463725149,2463.725149
357,2451188354,2451.188354
358,2461780444,2461.780444
359,2462101908,2462.101908
360,2457153227,2457.153227
361,2456455819,2456.455819
362,2458131034,2458.131034
363,2459004502,2459.004502
364,2455698525,2455.698525
365,2442370177,2442.370177
366,2432438615,2432.438615
367,2428535522,2428.535522
368,2426355922,2426.355922
